Case Number Eviction,Folio,Filing Date
2021-002028-CC-26,3069260330010,26/01/2021
2021-002029-CC-26,3059090060012,26/01/2021
2021-002050-CC-05,2540060010510,26/01/2021
2021-002073-CC-26,3069260330010,26/01/2021
2021-002076-CC-26,3059270350010,26/01/2021
2021-002078-CC-26,3059090060012,26/01/2021
2021-002083-CC-26,3069260330010,26/01/2021
2021-002086-CC-05,132180540570,26/01/2021
2021-002087-CC-05,132300912750,26/01/2021
2021-002087-CC-26,3069230040200,26/01/2021
2021-002088-CC-05,141380032220,26/01/2021
2021-002131-CC-26,3079050000370,26/01/2021
2021-002141-CC-05,3530340070020,26/01/2021
2021-002142-CC-05,131250040300,26/01/2021
2021-002143-CC-05,141380510030,26/01/2021
2021-002144-CC-05,3530220070380,26/01/2021
2021-002145-CC-05,132300230120,26/01/2021
2021-002190-CC-05,131250481430,26/01/2021
2021-002191-CC-05,3030530450010,26/01/2021
2021-002204-CC-25,3040280062640,26/01/2021
2021-000391-CC-20,3031110040020,27/01/2021
2021-000411-CC-20,131130260240,27/01/2021
2021-000416-CC-20,3031010090030,27/01/2021
2021-001507-CC-21,3530280070030,27/01/2021
2021-001509-CC-21,2730030104730,27/01/2021
2021-001514-CC-21,420250580080,27/01/2021
2021-002082-CC-23,622210170010,27/01/2021
2021-002084-CC-23,622210170010,27/01/2021
2021-002085-CC-23,622210170010,27/01/2021
2021-002086-CC-23,3421040010400,27/01/2021
2021-002087-CC-23,3012311270020,27/01/2021
2021-002088-CC-23,2812350540020,27/01/2021
2021-002128-CC-23,3012311270020,27/01/2021
2021-002129-CC-23,132070390390,27/01/2021
2021-002130-CC-23,2822030730850,27/01/2021
2021-002130-CC-26,3059220470770,27/01/2021
2021-002131-CC-23,3022050513000,27/01/2021
2021-002132-CC-26,3059090060012,27/01/2021
2021-002134-CC-26,1079150091360,27/01/2021
2021-002135-CC-26,1079150091320,27/01/2021
2021-002136-CC-26,1079150060030,27/01/2021
2021-002138-CC-23,3421090021200,27/01/2021
2021-002138-CC-26,1079150091310,27/01/2021
2021-002139-CC-26,1079150090920,27/01/2021
2021-002141-CC-26,1079150060030,27/01/2021
2021-002145-CC-23,1079210262210,27/01/2021
2021-002149-CC-23,3411350190090,27/01/2021
2021-002160-CC-23,821220220070,27/01/2021
2021-002162-CC-23,3022180030200,27/01/2021
2021-002163-CC-23,3411350190090,27/01/2021
2021-002166-CC-23,621250280040,27/01/2021
2021-002167-CC-23,3411350190010,27/01/2021
2021-002169-CC-23,3411350410800,27/01/2021
2021-002171-CC-23,3421040010400,27/01/2021
2021-002172-CC-23,3411350320010,27/01/2021
2021-002173-CC-23,3421040010240,27/01/2021
2021-002174-CC-23,3411350320010,27/01/2021
2021-002175-CC-23,3411330052110,27/01/2021
2021-002184-CC-26,3059040040670,27/01/2021
2021-002210-CC-05,141160092680,27/01/2021
2021-002210-CC-25,3040350560030,27/01/2021
2021-002210-CC-26,1079170010220,27/01/2021
2021-002211-CC-05,102050601041,27/01/2021
2021-002211-CC-26,3079030200420,27/01/2021
2021-002212-CC-05,131370370020,27/01/2021
2021-002212-CC-26,3050020000600,27/01/2021
2021-002213-CC-05,102050601041,27/01/2021
2021-002213-CC-26,3050020000600,27/01/2021
2021-002214-CC-05,131310110370,27/01/2021
2021-002214-CC-26,1678240000680,27/01/2021
2021-002215-CC-05,131310110370,27/01/2021
2021-002216-CC-05,131250770040,27/01/2021
2021-002217-CC-05,141060183231,27/01/2021
2021-002218-CC-05,102050601041,27/01/2021
2021-002219-CC-05,131310110370,27/01/2021
2021-002246-CC-25,3040110020160,27/01/2021
2021-002261-CC-05,101050301010,27/01/2021
2021-002263-CC-05,101050201080,27/01/2021
2021-002264-CC-05,141381180020,27/01/2021
2021-002265-CC-05,141100023380,27/01/2021
2021-002288-CC-25,3040220310330,27/01/2021
2021-002293-CC-26,3050020000600,27/01/2021
2021-002348-CC-05,131350250110,27/01/2021
2021-000482-CC-20,3021350000136,28/01/2021
2021-000483-CC-20,3031100820010,28/01/2021
2021-000484-CC-20,3031110640010,28/01/2021
2021-000526-CC-24,242030094310,28/01/2021
2021-000527-CC-24,242030093490,28/01/2021
2021-000533-CC-20,3031110640010,28/01/2021
2021-000560-CC-24,232340802940,28/01/2021
2021-001516-CC-21,420270230250,28/01/2021
2021-001519-CC-21,3530280260010,28/01/2021
2021-001520-CC-21,3530190120010,28/01/2021
2021-001521-CC-21,3530190120010,28/01/2021
2021-001522-CC-21,3530190120010,28/01/2021
2021-001523-CC-21,3530070111460,28/01/2021
2021-001524-CC-21,3530190120010,28/01/2021
2021-001525-CC-21,3530280260010,28/01/2021
2021-001526-CC-21,430110021394,28/01/2021
2021-002217-CC-23,622210230010,28/01/2021
2021-002218-CC-23,622210230010,28/01/2021
2021-002220-CC-23,622210230010,28/01/2021
2021-002226-CC-23,3012330200020,28/01/2021
2021-002227-CC-23,3122140100060,28/01/2021
2021-002229-CC-26,1678240000680,28/01/2021
2021-002251-CC-23,622280310190,28/01/2021
2021-002252-CC-23,3411350270010,28/01/2021
2021-002253-CC-23,622210170010,28/01/2021
2021-002254-CC-23,622210170010,28/01/2021
2021-002254-CC-26,3069260330010,28/01/2021
2021-002255-CC-23,622210170010,28/01/2021
2021-002255-CC-26,3069260330010,28/01/2021
2021-002257-CC-23,3021140120070,28/01/2021
2021-002262-CC-26,3050200380010,28/01/2021
2021-002266-CC-26,3050320290020,28/01/2021
2021-002270-CC-23,3021140120070,28/01/2021
2021-002272-CC-23,622300580240,28/01/2021
2021-002273-CC-23,3021140120080,28/01/2021
2021-002273-CC-26,1078130040740,28/01/2021
2021-002274-CC-23,3021140120080,28/01/2021
2021-002274-CC-26,3079040000520,28/01/2021
2021-002275-CC-26,3079040000520,28/01/2021
2021-002276-CC-23,3411350050450,28/01/2021
2021-002277-CC-23,622200550490,28/01/2021
2021-002278-CC-23,3411360033030,28/01/2021
2021-002294-CC-26,3059260010010,28/01/2021
2021-002295-CC-26,1678240310010,28/01/2021
2021-002296-CC-26,1678240310010,28/01/2021
2021-002301-CC-26,1678240310010,28/01/2021
2021-002320-CC-26,3069120300290,28/01/2021
2021-002349-CC-05,2530560860010,28/01/2021
2021-002357-CC-05,132300260180,28/01/2021
2021-002402-CC-05,131340130271,28/01/2021
2021-002403-CC-05,3030540940010,28/01/2021
2021-002404-CC-05,3030540940010,28/01/2021
2021-002405-CC-05,3030540940010,28/01/2021
2021-002406-CC-05,132300260180,28/01/2021
2021-002407-CC-05,141200040080,28/01/2021
2021-002496-CC-25,2530560860010,28/01/2021
2021-002509-CC-25,3040350560030,28/01/2021
2021-000531-CC-20,3031150430440,29/01/2021
2021-000549-CC-20,131120860020,29/01/2021
2021-000550-CC-20,131240011171,29/01/2021
2021-000551-CC-20,3031120000010,29/01/2021
2021-000563-CC-24,242030094740,29/01/2021
2021-002319-CC-26,3059220760010,29/01/2021
2021-002321-CC-23,621260050210,29/01/2021
2021-002325-CC-23,132070030590,29/01/2021
2021-002328-CC-26,3049330530020,29/01/2021
2021-002339-CC-23,622210230010,29/01/2021
2021-002339-CC-26,3050320050090,29/01/2021
2021-002343-CC-26,3069260330010,29/01/2021
2021-002344-CC-26,1079180141910,29/01/2021
