Sale Date,Add Date,Database ID,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
05/13/2021,02/23/2021,TAXACT01311302415402020A01504,2020A01504,Accepting Proxy,0,7781.69,47798,,,HIDDEN,6844 NW 6 CT,MIAMI,33150-4110,01-3113-024-1540,0131130241540
05/13/2021,02/23/2021,TAXACT01312302100202020A01505,2020A01505,Canceled,0,15551.03,108007,,,HIDDEN,1090 NW 37 ST,MIAMI,33127-3017,01-3123-021-0020,0131230210020
05/13/2021,02/23/2021,TAXACT30305207537202016A00480,2016A00480,Accepting Proxy,0,40537.14,34920,,,HIDDEN,777 NW 72 AVE,MIAMI,33126,30-3052-075-3720,3030520753720
05/13/2021,02/23/2021,TAXACT30403101901502020A01417,2020A01417,Accepting Proxy,0,11038.95,136007,,,HIDDEN,11203 SW 88 ST,MIAMI,33176-1149,30-4031-019-0150,3040310190150
05/13/2021,02/23/2021,TAXACT30490901708302020A01506,2020A01506,Accepting Proxy,0,3079.35,25634,,,HIDDEN,VACANT LOT,MIAMI,33185-5922,30-4909-017-0830,3049090170830
05/13/2021,02/23/2021,TAXACT01311404106202018A00858,2018A00858,Accepting Proxy,0,3902.89,32635,,,HIDDEN,VACANT LOT,MIAMI,33142,01-3114-041-0620,0131140410620
05/13/2021,02/24/2021,TAXACT31221103315202020A01418,2020A01418,Accepting Proxy,0,11323.44,125000,,,HIDDEN,16919 N BAY RD,SUNNY ISLES BEACH,33160-4253,31-2211-033-1520,3122110331520
05/13/2021,02/24/2021,TAXACT35301905004102020A01419,2020A01419,Accepting Proxy,0,39139.05,427673,,,HIDDEN,11329 NW 46 LN,DORAL,33178-4348,35-3019-050-0410,3530190500410
05/13/2021,02/24/2021,TAXACT31221404503302020A01420,2020A01420,Accepting Proxy,0,5109.96,52208,,,HIDDEN,400 SUNNY ISLES BLVD,SUNNY ISLES BEACH,33160,31-2214-045-0330,3122140450330
05/13/2021,02/24/2021,TAXACT35301901808202020A01422,2020A01422,Accepting Proxy,0,21696.13,220900,,,HIDDEN,4870 NW 108 PL,DORAL,33178-4334,35-3019-018-0820,3530190180820
05/13/2021,02/24/2021,TAXACT30590904701202020A01510,2020A01510,Accepting Proxy,0,9638.49,114000,,,HIDDEN,15581 SW 104 TER,MIAMI,33196-3537,30-5909-047-0120,3059090470120
05/13/2021,02/24/2021,TAXACT06222103610102020A01423,2020A01423,Accepting Proxy,0,18555,159786,,,HIDDEN,15051 ROYAL OAKS LN,NORTH MIAMI,33181-2474,06-2221-036-1010,0622210361010
05/13/2021,02/24/2021,TAXACT30123103301702020A01424,2020A01424,Accepting Proxy,0,6034.57,71039,,,HIDDEN,20125 NE 3 CT,MIAMI,33179-2961,30-1231-033-0170,3012310330170
05/13/2021,02/24/2021,TAXACT01311403508502020A01430,2020A01430,Accepting Proxy,0,4069.82,14722,,,HIDDEN,VACANT LOT,MIAMI,33142-2502,01-3114-035-0850,0131140350850
05/13/2021,02/24/2021,TAXACT30311103402102020A01512,2020A01512,Accepting Proxy,0,1313.43,157823,,,HIDDEN,880 NW 79 ST,MIAMI,33150-3157,30-3111-034-0210,3031110340210
05/13/2021,02/24/2021,TAXACT01313606704102018A00861,2018A00861,Accepting Proxy,0,13223.61,22703,,,HIDDEN,530 NW 17 ST,MIAMI,33136,01-3136-067-0410,0131360670410
05/13/2021,02/24/2021,TAXACT01312301400602020A01431,2020A01431,Accepting Proxy,0,15980.26,56980,,,HIDDEN,VACANT LOT,MIAMI,33142-4170,01-3123-014-0060,0131230140060
05/13/2021,02/24/2021,TAXACT01311201800602018A00871,2018A00871,Accepting Proxy,0,3950.37,33204,,,HIDDEN,VACANT LOT,MIAMI,33150,01-3112-018-0060,0131120180060
05/13/2021,02/24/2021,TAXACT34210801907002020A01432,2020A01432,Accepting Proxy,0,2197.49,13682,,,HIDDEN,VACANT LOT,MIAMI GARDENS,33055-0000,34-2108-019-0700,3421080190700
