Database ID,Sale Date,Add Date,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,Folio
TAXACT31220203459202021A00003,05/20/2021,03/29/2021,2021A00003,Accepting Proxy,0,1006.13,11660,,,HIDDEN,19201 COLLINS AVE,SUNNY ISLES BEACH,33160-2202,31-2202-034-5920,3122020345920
TAXACT30401810918902021A00005,05/20/2021,03/29/2021,2021A00005,Accepting Proxy,0,10407.15,119506,,,HIDDEN,3601 SW 117 AVE,MIAMI,33165-1779,30-4018-109-1890,3040181091890
TAXACT30781500501502021A00095,05/20/2021,03/29/2021,2021A00095,Accepting Proxy,0,2944.21,28089,,,HIDDEN,VACANT LOT,MIAMI,33030-0000,30-7815-005-0150,3078150050150
TAXACT30692602106002021A00096,05/20/2021,03/29/2021,2021A00096,Accepting Proxy,0,4001.7,73,,,HIDDEN,VACANT LOT,MIAMI,33032-7835,30-6926-021-0600,3069260210600
TAXACT30311100300102020A01516,05/20/2021,03/29/2021,2020A01516,Accepting Proxy,0,5368.68,55249,,,HIDDEN,VACANT LOT,MIAMI,33147-5001,30-3111-003-0010,3031110030010
TAXACT35302202933702021A00114,06/03/2021,03/29/2021,2021A00114,Accepting Proxy,0,12527.47,151000,,,HIDDEN,5201 GENEVA WAY,DORAL,33166-5446,35-3022-029-3370,3530220293370
TAXACT31221401404802021A00113,06/03/2021,03/29/2021,2021A00113,Accepting Proxy,0,7242.86,137000,,,HIDDEN,500 BAYVIEW DR,SUNNY ISLES BEACH,33160-4780,31-2214-014-0480,3122140140480
TAXACT03410811516002021A00121,06/03/2021,03/29/2021,2021A00121,Accepting Proxy,0,36741.08,359388,,,HIDDEN,55 MERRICK WAY,CORAL GABLES,33134-5138,03-4108-115-1600,0341081151600
TAXACT12222604201302021A00097,06/03/2021,03/30/2021,2021A00097,Accepting Proxy,0,25325.06,261000,,,HIDDEN,10240 COLLINS AVE,BAL HARBOUR,33154-1431,12-2226-042-0130,1222260420130
TAXACT30310201407002021A00109,06/03/2021,03/30/2021,2021A00109,Accepting Proxy,0,13928.04,137095,,,HIDDEN,8930 NW 10 AVE,MIAMI,33150-2324,30-3102-014-0700,3031020140700
